case_name,tumor_dice,tumor_nsd
BDMAP_A0000003.nii.gz,0.137546468,0.14390494160028738
BDMAP_A0000009.nii.gz,0.9620489196007459,0.9848638873219587
BDMAP_A0000014.nii.gz,0.39619408795547784,0.2183724305865661
BDMAP_A0000015.nii.gz,0.807426803,0.830212123
BDMAP_A0000016.nii.gz,0.9683068809393502,0.9864188145156385
BDMAP_A0000017.nii.gz,0.677262187,0.6054003711732975
BDMAP_A0000018.nii.gz,0.938420981,0.9602441814127258
BDMAP_A0000020.nii.gz,0.9631728045325779,1
BDMAP_A0000025.nii.gz,0.9504,0.9910498774874908
BDMAP_A0000028.nii.gz,0.9539422326307572,0.9935992832442029
BDMAP_A0000029.nii.gz,0.9393551772770508,0.9559757477601897
BDMAP_A0000032.nii.gz,0.9037609576774437,0.9072794068164921
BDMAP_A0000039.nii.gz,0.9340538028005345,0.9954922405893606
BDMAP_A0000041.nii.gz,0.9589667698103054,0.9926817365665231
BDMAP_A0000055.nii.gz,0.197318797,0.28944051750958877
BDMAP_A0000056.nii.gz,0.978442354,1
BDMAP_A0000057.nii.gz,0.9733382030679328,0.9562217566327922
BDMAP_A0000059.nii.gz,0.9434087057170022,0.9522957416120985
BDMAP_A0000062.nii.gz,0.9655774621995497,1
BDMAP_A0000063.nii.gz,0.917536507,0.8925346696178028
BDMAP_A0000066.nii.gz,0.6756805480439877,0.451955032
BDMAP_A0000073.nii.gz,0.8581776591688905,0.9595102081911769
BDMAP_A0000074.nii.gz,0.8534400436542222,0.8475165239479195
BDMAP_A0000075.nii.gz,0.8360323886639676,0.8834214389099343
BDMAP_A0000076.nii.gz,0.7114588360809815,0.5264047381185498
BDMAP_A0000078.nii.gz,0.9132938187976292,0.8973591905819405
BDMAP_A0000087.nii.gz,0.9114236876248533,0.9546509269319955
BDMAP_A0000092.nii.gz,0.9059906993708398,0.9434035996945421
BDMAP_A0000093.nii.gz,0.9462414578587699,0.9922335601520302
BDMAP_A0000099.nii.gz,0.7592295345104334,0.8201622673393019
BDMAP_A0000100.nii.gz,0.069425901,0.1507972172552582
BDMAP_A0000103.nii.gz,0.3185840707964602,0.7302636176302991
BDMAP_A0000104.nii.gz,0.6388340100599964,0.3584910815225456
BDMAP_A0000105.nii.gz,0.7621483375959079,0.9347697638075532
BDMAP_A0000106.nii.gz,0.8690307328605201,0.9460310459018971
BDMAP_A0000111.nii.gz,0.16300940438871472,0.48201357877402046
BDMAP_A0000121.nii.gz,0.7622641509433963,0.8704211961285148
BDMAP_A0000124.nii.gz,0.7664621676891615,0.89379918
BDMAP_A0000131.nii.gz,0.8183673469387756,0.941546912
BDMAP_A0000140.nii.gz,0.7462632154575283,0.718380811
BDMAP_A0000141.nii.gz,0.8936073059360731,0.9774756558774208
BDMAP_A0000142.nii.gz,0.9014161220043573,0.9865546864181285
BDMAP_A0000144.nii.gz,0.7782139352306182,0.8305085863972856
BDMAP_A0000145.nii.gz,0.8547418967587035,0.948408025
BDMAP_A0000146.nii.gz,0.9511321062062225,0.9903334507944663
BDMAP_A0000150.nii.gz,0.950609225,0.967410223
BDMAP_A0000151.nii.gz,0.8398058252427184,0.9566637299276711
BDMAP_A0000156.nii.gz,0.8668252080856124,0.9723279627663809
BDMAP_A0000159.nii.gz,0.9231662473388813,0.9774448668022441
BDMAP_A0000161.nii.gz,0,0.03231379
BDMAP_A0000165.nii.gz,0.8885032537960954,0.9112801589916799
BDMAP_A0000166.nii.gz,0.18342886920270973,0.28364971775216485
BDMAP_A0000172.nii.gz,0.9123738714816781,0.9912394488618597
